username,description,location,following,followers,totaltweets,retweetcount,text,target,hashtags,actual_time
Ramvignesh490,,Chennai,461,137,100993,106,Thousands of people throng the Chennai Metro Rail stations to avoid traffic and rains and reach home. Location : Madras High court Metro station  #Chennai #Chennaiametro #Chennairains https://t.co/ghAMVPm0f8,0,[],2021-12-31 10:33:09+00:00
ManickamJebason,,,571,344,35084,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:18:18+00:00
nousha1212,"தமிழன்...|born to express,not impress
|",,567,88,7994,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:55:52+00:00
chinnapper_aj,,,459,362,2448,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:27:34+00:00
VMeenakshiSun13,,,129,0,70,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 05:29:50+00:00
prolineproline,#Thalapathy,,48,9,1731,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:44:25+00:00
rangakidambee,"Serial #entrepreneur, #Start-upArchitect, #HealthcareIT, #GrowthHacker,Views personal. #BlueOceanStrategist  
I'm NOT kind to #KhanMarketGang and Periarists",Chennai,3886,4272,160385,9,"Choodamani Pradanam that most of us missed on 30th due to intense rains being restaged again. Thanks to Kalakshetra for it. How can we miss it ? 😍
#classicalarts #decemberseason #chennai #heritage #culture https://t.co/I3NVK1QkqA",0,[],2022-01-03 14:02:58+00:00
rahul_estates,"Jai Shree Ram, Bharat Mata ki Jai, Follower of Sanatana dharma...Beware of hypocrite People",India,680,178,10725,2,"In a span of 24 hours, #Chennai recorded 201 mm of rains. The last time the city saw such heavy rains in 24 hours for December was in the year 2015 on December 2 when Chennai saw 294.1 mm of rainfall. #chennairains #ChennaiRains2021 
#ChennaiRain 

https://t.co/52uM24Oi48",1,['Chennai'],2021-12-31 11:23:13+00:00
PrabakaranJagan,studying MSc physics,"Dharmapuri, India",220,49,8876,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:34:52+00:00
Rahul12598083,,,11,0,30,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:01:33+00:00
