text,PreprocessedText,Words,Tag
"‼️ #RedAlert has been issued in #Chennai in view of #HeavyRains 

Learn the #truth about #climate &amp; the only way to save #humanity at #GlobalCrisis 
➡️ https://t.co/iHXb1XjjSR

#ChennaiRains #ChennaiRains2021 #chennaifloods #TamilNaduRains #India #unity  

https://t.co/VX7FGcgqfQ",RedAlert has been issued in Chennai in view of HeavyRains Learn the truth about climate amp the only way to save humanity at GlobalCrisishttpstcoiHXbXjjSRChennaiRains ChennaiRains chennaifloods TamilNaduRains India unityhttpstcoVXFGcgqfQ,RedAlert,O
"‼️ #RedAlert has been issued in #Chennai in view of #HeavyRains 

Learn the #truth about #climate &amp; the only way to save #humanity at #GlobalCrisis 
➡️ https://t.co/iHXb1XjjSR

#ChennaiRains #ChennaiRains2021 #chennaifloods #TamilNaduRains #India #unity  

https://t.co/VX7FGcgqfQ",RedAlert has been issued in Chennai in view of HeavyRains Learn the truth about climate amp the only way to save humanity at GlobalCrisishttpstcoiHXbXjjSRChennaiRains ChennaiRains chennaifloods TamilNaduRains India unityhttpstcoVXFGcgqfQ,issued,O
"‼️ #RedAlert has been issued in #Chennai in view of #HeavyRains 

Learn the #truth about #climate &amp; the only way to save #humanity at #GlobalCrisis 
➡️ https://t.co/iHXb1XjjSR

#ChennaiRains #ChennaiRains2021 #chennaifloods #TamilNaduRains #India #unity  

https://t.co/VX7FGcgqfQ",RedAlert has been issued in Chennai in view of HeavyRains Learn the truth about climate amp the only way to save humanity at GlobalCrisishttpstcoiHXbXjjSRChennaiRains ChennaiRains chennaifloods TamilNaduRains India unityhttpstcoVXFGcgqfQ,Chennai,B-geo
"‼️ #RedAlert has been issued in #Chennai in view of #HeavyRains 

Learn the #truth about #climate &amp; the only way to save #humanity at #GlobalCrisis 
➡️ https://t.co/iHXb1XjjSR

#ChennaiRains #ChennaiRains2021 #chennaifloods #TamilNaduRains #India #unity  

https://t.co/VX7FGcgqfQ",RedAlert has been issued in Chennai in view of HeavyRains Learn the truth about climate amp the only way to save humanity at GlobalCrisishttpstcoiHXbXjjSRChennaiRains ChennaiRains chennaifloods TamilNaduRains India unityhttpstcoVXFGcgqfQ,GlobalCrisis,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,years,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,build ,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,moments,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,destroy,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,Chennai,B-geo
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,Deluge,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,Coastal TamilNadu,B-geo
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,traditional,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,Monsoon,O
"“It takes years to build up, it takes moments to destroy.” - Haruki Murakami. 
What caused the #Chennai Deluge yesterday &amp; why we at #COMK think starting today the #Rains over Coastal #TamilNadu could be the traditional #Monsoon type rains. https://t.co/BsoljP7ir6 #ChennaiRains https://t.co/U5qTFWPoxw",It takes years to build up it takes moments to destroyHaruki Murakami What caused the Chennai Deluge yesterday amp why we at COMK think starting today the Rains over Coastal TamilNadu could be the traditional Monsoon type rains httpstcoBsoljPir ChennaiRains httpstcoUqTFWPoxw,TamilNadu,B-geo
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,flooded,O
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,Nungambakkam,B-geo
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,today,O
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,evening,O
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,India,B-geo
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,india,B-geo
@praddy06 Flooded #Nungambakkam today evening... ⛈️ #chennairains #chennaifloods @ChennaiRmc @ChennaiRains @weatherindia @chennaiweather @Chennai_Rains https://t.co/Z7CpBZXmXz,praddy Flooded Nungambakkam today eveningchennairains chennaifloods ChennaiRmc ChennaiRains weatherindia chennaiweather ChennaiRains httpstcoZCpBZXmXz,nungambakkam,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,RajeAiyer,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,Crazy,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,rains,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,stuck,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,outside,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,took,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,hours,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,reach,O
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,KK Nagar,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,kk nagar,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,Valasaravakkam,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,Heavy,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,Flooding,B-geo
"@RajeAiyer Crazy rains. Got stuck outside ...took 2.5 hrs to reach from KK Nagar to Valasarvakkam. Heavy flooding.... Phewwwwwww 
#ChennaiRains #chennaifloods",RajeAiyer Crazy rains Got stuck outside tookhrs to reach from KK Nagar to Valasarvakkam Heavy flooding Phewwwwwww ChennaiRains chennaifloods,valasaravakkam,B-geo
